state,year,crime_count,population,literacy_rate,urban_population_pct,latitude,longitude
Andhra Pradesh,2001,100106,76210000,67.0,27.3,15.9129,79.74
Andhra Pradesh,2002,99433,77124520,67.45,27.48,15.9129,79.74
Andhra Pradesh,2003,104700,78050014,67.9,27.66,15.9129,79.74
Andhra Pradesh,2004,110540,78986614,68.35,27.84,15.9129,79.74
Andhra Pradesh,2005,105224,79934454,68.8,28.02,15.9129,79.74
Andhra Pradesh,2006,101991,80893667,69.25,28.2,15.9129,79.74
Andhra Pradesh,2007,103311,81864391,69.7,28.38,15.9129,79.74
Andhra Pradesh,2008,102672,82846764,70.15,28.56,15.9129,79.74
Andhra Pradesh,2009,102780,83840925,70.6,28.74,15.9129,79.74
Andhra Pradesh,2010,99893,84847016,71.05,28.92,15.9129,79.74
Andhra Pradesh,2011,102967,85865180,71.5,29.1,15.9129,79.74
Andhra Pradesh,2012,106073,86895563,71.95,29.28,15.9129,79.74
Andhra Pradesh,2013,107195,87938309,72.4,29.46,15.9129,79.74
Andhra Pradesh,2014,112762,88993569,72.85,29.64,15.9129,79.74
Andhra Pradesh,2015,116731,90061492,73.3,29.82,15.9129,79.74
Andhra Pradesh,2016,116101,91142230,73.75,30.0,15.9129,79.74
Andhra Pradesh,2017,120794,92235937,74.2,30.18,15.9129,79.74
Andhra Pradesh,2018,120349,93342768,74.65,30.36,15.9129,79.74
Andhra Pradesh,2019,127512,94462881,75.1,30.54,15.9129,79.74
Andhra Pradesh,2020,130737,95596436,75.55,30.72,15.9129,79.74
Andhra Pradesh,2021,132951,96743593,76.0,30.9,15.9129,79.74
Andhra Pradesh,2022,132319,97904516,76.45,31.08,15.9129,79.74
Andhra Pradesh,2023,139599,99079370,76.9,31.26,15.9129,79.74
Arunachal Pradesh,2001,2906,1100000,54.3,20.8,28.218,94.7278
Arunachal Pradesh,2002,2942,1115400,54.78,21.04,28.218,94.7278
Arunachal Pradesh,2003,2976,1131016,55.26,21.28,28.218,94.7278
Arunachal Pradesh,2004,3087,1146850,55.74,21.52,28.218,94.7278
Arunachal Pradesh,2005,3168,1162906,56.22,21.76,28.218,94.7278
Arunachal Pradesh,2006,3240,1179186,56.7,22.0,28.218,94.7278
Arunachal Pradesh,2007,3302,1195695,57.18,22.24,28.218,94.7278
Arunachal Pradesh,2008,3548,1212435,57.66,22.48,28.218,94.7278
Arunachal Pradesh,2009,3500,1229409,58.14,22.72,28.218,94.7278
Arunachal Pradesh,2010,3442,1246621,58.62,22.96,28.218,94.7278
Arunachal Pradesh,2011,3360,1264073,59.1,23.2,28.218,94.7278
Arunachal Pradesh,2012,3459,1281770,59.58,23.44,28.218,94.7278
